,Policy type,Event details,Event frequency,Event relevance,Previous attendance,Is presenting,CarbonReduction,LossFromReduction,Reputation,LossFromReputation,Optimal
504,Cap distance,Workshop,Medium,Low,Medium,No,-0.51172,0.0,-1.94029,0.0,No
505,Carbon tax/distance,Meetings,Medium,Medium,Low,Yes,1.03834,0.0,0.51539,0.0,No
506,Carbon tax/flight,Workshop,Medium,Low,Low,No,0.85948,0.0,-1.94029,0.0,No
507,Cap distance,Meetings,High,Medium,Low,Yes,-0.51172,0.0,0.51539,0.0,No
508,Cap distance,Conference,Medium,Medium,Low,No,-0.51172,0.0,0.51539,0.0,No
509,As-is,Meetings,Low,Low,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
510,Carbon tax/flight,Workshop,Low,Medium,High,No,0.85948,0.0,0.51539,0.0,No
511,Cap distance,Workshop,High,High,Low,No,-0.51172,0.0,0.51539,0.0,No
512,Cap distance,Meetings,Medium,High,Low,Yes,-0.51172,0.0,0.51539,0.0,No
513,As-is,Workshop,Low,Medium,Low,No,-1.38611,0.0,0.51539,0.0,No
514,As-is,Workshop,Medium,Medium,Medium,No,-1.38611,0.0,0.51539,0.0,No
515,Cap distance,Conference,Medium,High,High,Yes,-0.51172,0.0,0.51539,0.0,No
516,As-is,Meetings,High,Low,Medium,No,-1.38611,0.0,-1.94029,0.0,No
517,Cap distance,Workshop,Low,High,Low,Yes,-0.51172,0.0,0.51539,0.0,No
518,Carbon tax/distance,Conference,High,High,Low,No,1.03834,0.0,0.51539,0.0,No
519,Carbon tax/flight,Workshop,High,Low,High,Yes,0.85948,0.0,-1.94029,0.0,No
520,Cap distance,Conference,High,Medium,High,Yes,-0.51172,0.0,0.51539,0.0,No
521,Cap distance,Workshop,Medium,High,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
522,As-is,Workshop,Low,High,High,Yes,-1.38611,0.0,0.51539,0.0,No
523,As-is,Conference,High,High,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
524,Carbon tax/distance,Workshop,Low,Low,Medium,No,1.03834,0.0,-1.94029,0.0,No
525,Carbon tax/flight,Meetings,Medium,Medium,High,No,0.85948,0.0,0.51539,0.0,No
526,As-is,Workshop,Medium,Medium,High,Yes,-1.38611,0.0,0.51539,0.0,No
